race,enroll,activity,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47
2,5,Leisure and Sports,73,43,40,26,23,16,16,10,9,2,6,9,13,14,14,11,19,26,33,32,53,49,59,65,71,85,91,90,99,93,110,111,114,111,127,128,139,149,157,154,165,167,180,164,176,136,126,99
2,5,Traveling,18,8,12,10,11,3,1,2,2,1,3,9,18,28,56,67,53,54,50,51,56,58,60,49,70,76,87,78,85,75,83,72,77,70,72,80,88,59,54,39,53,48,50,28,40,27,32,25
2,5,Other,30,23,22,15,14,9,8,3,9,5,9,17,41,45,64,66,70,84,83,96,103,105,117,109,116,104,114,108,97,109,103,93,105,92,104,111,97,95,103,103,117,90,80,68,57,46,47,42
3,3,Sleeping,13,15,16,16,17,17,17,17,34,17,17,17,15,12,11,7,6,6,2,2,2,3,3,2,1,2,2,2,2,3,3,3,3,2,2,0,0,1,1,1,2,2,3,7,8,10,12,13
3,3,Grooming,1,1,0,0,0,0,0,0,0,0,0,3,6,7,8,2,1,4,2,1,1,1,0,0,0,0,0,0,0,0,1,2,2,1,1,2,3,1,1,1,0,2,6,6,3,0,1,1
3,3,Working and related activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,3,Educational Activities,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,8,7,7,7,7,7,8,7,7,7,7,7,7,8,5,3,4,5,5,2,5,5,6,6,5,4,2,2,2,1,1,1
3,3,Eating and Drinking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,3,2,3,2,5,8,5,1,0,2,3,2,2,2,3,2,4,4,2,0,4,2,2,1,1,1,0,1
3,3,Leisure and Sports,2,4,3,3,2,1,1,1,2,1,1,1,1,2,3,4,3,4,4,2,3,5,5,5,4,4,3,2,4,5,5,7,8,7,11,9,11,7,7,7,9,7,8,9,10,8,6,3
3,3,Traveling,1,2,0,1,0,0,0,0,0,0,0,0,1,5,11,11,3,2,2,3,3,1,2,4,7,4,3,6,4,7,13,11,3,4,6,6,7,4,3,3,5,6,6,3,1,2,0,0
3,3,Other,2,1,0,0,0,0,0,0,0,0,0,1,2,3,2,1,2,2,4,8,5,5,5,6,12,9,8,10,4,4,5,2,4,3,7,4,6,3,6,6,7,6,7,4,3,3,2,2
