"grp","day"
2,"s,120,o,30,o,15,o,5,o,8,o,32,o,30,o,210,o,30,o,196,o,2,o,192,o,15,o,10,o,30,o,30,w,60,o,30,s,395"
1,"s,240,o,15,o,30,o,30,o,45,o,5,o,10,o,45,o,10,o,45,o,15,o,10,o,160,o,30,o,40,o,180,o,30,o,40,o,30,o,120,s,310"
1,"s,210,o,5,o,3,o,15,o,60,o,15,o,82,o,30,o,60,o,30,o,30,o,45,o,15,o,30,o,180,o,30,o,60,o,30,o,120,o,270,o,15,o,60,s,45"
1,"s,120,w,240,o,15,o,90,o,30,o,150,o,30,o,120,w,120,o,30,o,60,o,120,s,315"
1,"s,240,o,180,o,60,o,30,o,90,o,45,o,60,o,45,o,30,o,240,o,5,s,415"
4,"s,60,o,15,o,15,o,20,o,10,o,180,o,15,o,105,o,20,o,30,s,130,o,30,o,120,o,150,o,30,o,30,o,15,o,105,s,360"
1,"s,360,o,15,o,30,o,435,o,30,o,60,o,30,o,60,o,30,o,30,s,360"
2,"s,330,o,90,o,15,o,75,o,5,o,145,o,15,o,125,o,15,o,2,o,35,o,15,o,63,o,45,o,30,o,30,s,405"
4,"s,180,w,420,s,240,o,30,o,10,w,80,s,480"
1,"s,420,o,15,o,10,o,10,o,10,o,180,s,75,o,20,o,30,o,20,o,20,o,10,o,230,o,10,o,20,o,180,s,180"
1,"s,660,o,180,o,30,o,240,s,330"
2,"s,420,o,30,o,15,o,60,o,90,o,10,o,5,o,10,o,5,o,1,o,10,o,120,o,10,o,60,o,120,o,45,o,5,s,424"
2,"s,120,o,30,o,10,o,5,o,15,o,30,c,208,o,25,c,202,o,5,s,60,o,10,o,120,o,15,o,120,o,15,o,10,s,200,o,60,s,180"
1,"s,180,o,45,o,20,o,25,c,150,o,15,c,90,o,15,c,120,o,25,o,45,o,45,o,45,o,20,o,15,o,20,w,45,o,60,o,15,o,10,s,435"
2,"s,300,o,90,o,15,o,15,o,110,o,20,o,80,o,135,o,15,o,25,o,3,o,5,o,7,o,10,o,3,o,157,s,90,o,60,s,300"
1,"s,360,o,20,o,220,o,20,o,90,o,70,o,60,o,10,o,40,o,10,o,60,o,60,o,240,s,180"
1,"s,120,o,10,o,5,o,5,w,95,c,290,o,25,c,121,o,5,o,74,w,60,o,30,w,120,o,60,s,420"
1,"s,240,o,15,o,30,o,15,o,330,o,15,o,10,o,95,o,30,o,60,o,60,o,180,o,20,o,40,o,15,o,45,s,240"
1,"s,540,o,30,o,10,o,30,o,20,o,20,o,15,o,60,o,20,o,60,o,5,o,10,o,2,o,10,o,28,o,40,o,30,o,70,o,5,o,15,o,5,o,85,o,103,s,227"
1,"s,165,o,30,o,25,c,200,o,45,c,165,o,10,o,20,o,60,w,105,o,5,o,30,o,15,w,30,o,3,o,90,o,4,o,30,o,30,o,120,s,258"
1,"s,120,o,30,o,45,o,10,o,245,o,30,o,240,o,20,w,60,o,5,o,90,o,15,o,5,o,60,o,45,o,20,o,10,o,120,o,20,o,60,s,190"
1,"s,140,o,10,o,10,o,5,o,15,o,20,o,5,o,1,o,5,o,15,o,20,o,10,w,60,o,44,o,60,o,20,o,20,o,10,o,30,w,60,o,30,o,15,o,35,o,5,o,5,o,15,o,2,o,5,o,2,o,46,o,20,o,30,o,5,o,5,o,5,o,30,o,30,o,5,o,80,o,30,o,20,o,10,o,10,o,20,o,10,o,15,w,60,o,30,o,30,s,275"
1,"s,240,o,60,o,15,o,45,o,60,o,60,o,240,o,20,o,5,o,10,o,120,o,20,o,90,o,5,o,5,o,15,o,60,o,15,o,6,o,5,o,20,s,324"
1,"s,150,o,120,o,15,o,75,w,90,o,60,o,20,o,70,o,60,o,120,o,60,o,30,o,30,o,60,o,30,o,60,w,180,s,210"
1,"s,480,o,120,o,180,o,30,o,20,o,20,o,15,o,20,o,30,o,5,o,60,o,15,o,45,o,15,o,10,o,10,o,30,o,120,s,215"
1,"s,240,o,30,o,20,o,10,o,15,o,45,o,60,o,300,o,15,o,10,o,60,o,30,o,20,o,120,o,120,o,30,s,315"
1,"s,360,o,120,o,10,o,60,o,5,o,30,o,10,o,30,o,270,o,60,o,30,o,125,s,330"
1,"s,420,w,240,o,3,o,102,o,255,o,3,o,2,o,30,o,5,w,50,s,330"
1,"s,360,o,30,w,60,o,30,o,15,o,120,o,15,w,120,o,25,o,245,o,15,o,90,o,105,o,5,s,205"
1,"s,180,o,60,o,10,c,180,o,23,c,240,o,10,w,60,o,45,o,30,o,120,o,60,o,30,s,392"
1,"s,120,o,10,o,12,o,5,o,20,o,10,o,2,o,15,c,466,o,15,o,1,o,10,w,60,o,60,o,15,o,1,o,5,o,5,o,10,o,60,o,60,o,15,o,5,o,20,s,438"
2,"s,240,o,10,o,350,o,15,o,30,o,45,o,25,o,15,o,15,o,30,s,665"
1,"s,240,o,240,o,15,o,180,o,225,o,20,o,60,o,60,s,400"
1,"s,75,o,10,o,20,o,20,o,25,o,15,o,20,c,240,o,25,o,10,c,155,o,10,o,20,o,15,o,20,o,5,o,5,o,5,o,5,o,15,o,15,o,20,o,30,o,25,o,30,w,40,o,50,w,35,o,60,s,420"
1,"s,465,o,60,o,60,o,10,o,15,o,60,o,120,w,230,s,420"
1,"s,540,o,30,o,120,w,60,o,120,o,120,o,20,o,50,s,380"
1,"s,420,o,120,o,240,o,10,o,10,o,15,o,90,s,535"
4,"s,300,o,60,o,30,o,30,o,120,o,180,o,90,w,330,o,15,s,285"
1,"s,150,o,30,o,10,c,275,o,60,c,180,o,60,o,10,w,60,o,30,o,45,o,90,s,440"
1,"s,150,o,30,o,15,c,240,o,20,c,175,o,15,w,150,o,15,o,30,w,90,o,120,o,20,s,370"
2,"s,180,o,80,o,45,c,240,o,30,o,25,o,10,o,15,o,40,o,10,o,120,w,120,o,60,o,225,s,240"
1,"s,150,o,15,o,15,c,240,o,25,c,170,o,15,o,60,o,30,s,90,o,30,o,90,o,90,o,30,s,390"
2,"s,60,o,30,o,10,w,320,o,60,o,45,o,60,o,10,o,180,o,10,o,30,o,265,w,60,s,120,s,180"
1,"s,330,o,45,o,60,o,7,o,240,o,3,o,30,o,15,o,1,o,5,o,15,o,299,o,10,o,60,o,40,s,280"
2,"s,360,o,30,o,10,o,5,o,5,o,130,o,10,o,5,s,90,o,90,o,15,o,30,o,15,o,90,w,105,o,30,s,420"
2,"s,300,o,30,o,10,o,40,c,20,o,45,o,30,w,240,o,125,o,45,c,180,o,30,s,345"
