race,activities
1,"s,240,o,30,o,45,o,60,o,30,o,15,o,15,o,225,o,5,o,175,o,60,o,60,o,30,s,450"
2,"o,120,o,30,s,240,o,45,o,75,o,30,o,60,o,10,o,70,o,25,o,20,o,115,s,180,o,25,o,5,o,5,o,25,o,360"
1,"s,420,o,30,o,210,o,320,o,10,o,390,o,10,s,50"
1,"s,300,o,15,o,60,o,30,o,60,o,15,o,15,o,120,o,120,o,60,o,60,o,60,o,120,o,60,o,30,o,15,s,300"
1,"s,180,o,15,o,60,o,15,o,60,o,180,o,30,o,30,o,30,o,60,o,15,o,105,o,15,o,345,s,300"
1,"s,60,o,15,o,10,o,2,o,5,o,75,o,5,c,428,o,75,o,75,w,180,o,15,w,30,o,15,o,120,s,330"
1,"s,240,o,10,o,50,o,10,s,170,o,30,o,90,s,120,o,15,o,90,o,45,o,90,s,180,o,20,o,100,s,180"
2,"s,120,o,30,o,15,o,5,o,8,o,32,o,30,o,210,o,30,o,196,o,2,o,192,o,15,o,10,o,30,o,30,w,60,o,30,s,395"
1,"s,210,o,5,o,3,o,15,o,60,o,15,o,82,o,30,o,60,o,30,o,30,o,45,o,15,o,30,o,180,o,30,o,60,o,30,o,120,o,270,o,15,o,60,s,45"
1,"s,120,w,240,o,15,o,90,o,30,o,150,o,30,o,120,w,120,o,30,o,60,o,120,s,315"
1,"s,120,o,45,o,22,o,13,o,10,c,210,o,30,c,310,o,3,o,10,o,10,o,2,o,6,o,20,o,120,o,40,o,15,w,40,o,15,s,399"
2,"s,330,o,90,o,15,o,75,o,5,o,145,o,15,o,125,o,15,o,2,o,35,o,15,o,63,o,45,o,30,o,30,s,405"
4,"s,180,w,420,s,240,o,30,o,10,w,80,s,480"
1,"s,240,w,90,o,15,w,135,o,10,o,30,o,120,o,10,o,15,w,175,o,25,o,15,o,30,o,10,o,5,o,15,o,20,o,20,o,10,o,2,o,30,o,20,o,20,o,10,o,15,s,353"
2,"s,120,o,30,o,10,o,5,o,15,o,30,c,208,o,25,c,202,o,5,s,60,o,10,o,120,o,15,o,120,o,15,o,10,s,200,o,60,s,180"
2,"s,300,o,90,o,15,o,15,o,110,o,20,o,80,o,135,o,15,o,25,o,3,o,5,o,7,o,10,o,3,o,157,s,90,o,60,s,300"
1,"s,360,o,20,o,220,o,20,o,90,o,70,o,60,o,10,o,40,o,10,o,60,o,60,o,240,s,180"
1,"s,240,o,15,o,30,o,15,o,330,o,15,o,10,o,95,o,30,o,60,o,60,o,180,o,20,o,40,o,15,o,45,s,240"
2,"s,330,o,150,o,37,o,11,o,22,o,2,o,10,o,13,o,100,o,20,o,85,o,7,o,15,o,83,o,5,o,68,o,5,o,27,o,30,o,45,o,60,s,315"
2,"s,195,o,45,o,6,o,90,o,114,o,2,o,238,o,45,s,255,o,30,w,150,o,30,o,30,o,10,s,80,s,120"
1,"s,540,o,30,o,10,o,30,o,20,o,20,o,15,o,60,o,20,o,60,o,5,o,10,o,2,o,10,o,28,o,40,o,30,o,70,o,5,o,15,o,5,o,85,o,103,s,227"
1,"s,180,o,30,o,10,o,140,o,60,o,150,o,10,o,20,o,60,o,60,o,90,o,30,o,30,o,30,o,60,o,15,o,105,o,30,o,30,s,300"
1,"s,330,o,30,o,30,c,240,o,30,w,180,o,90,o,120,o,30,s,360"
